Product Name,Image URL,Product URL,Ratings,No: of Responses,price,country
PS4 Purple Galaxy Pattern skin wrap gaming console mod milky way spacejam universe decal,https://i.etsystatic.com/15716461/d/il/38c11e/1734212063/il_340x270.1734212063_ek3m.jpg?version=0,https://www.etsy.com/in-en/listing/659308357/ps4-purple-galaxy-pattern-skin-wrap?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-3&organic_search_click=1,4.975,55,14.99,United States
Ps4 Dualshock - Days Gone custom,https://i.etsystatic.com/10996032/d/il/aad1df/1920383402/il_340x270.1920383402_5vkn.jpg?version=0,https://www.etsy.com/in-en/listing/675332778/ps4-dualshock-days-gone-custom?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-4&organic_search_click=1&cns=1,4.9444,69,129.4,United States
PS4 / Playstation 4 Controller Wall Mount / Holder,https://i.etsystatic.com/14590014/d/il/079f01/1516552964/il_340x270.1516552964_ry1c.jpg?version=0,https://www.etsy.com/in-en/listing/520533897/ps4-playstation-4-controller-wall-mount?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-5&organic_search_click=1,4.9351,330,6.46,United States
Floating PS4 Game / Blu Ray Modular Wall Mount / Holder,https://i.etsystatic.com/14590014/d/il/4977ba/1634012084/il_340x270.1634012084_hrry.jpg?version=0,https://www.etsy.com/in-en/listing/522300168/floating-ps4-game-blu-ray-modular-wall?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-6&organic_search_click=1&col=1,4.9346,328,11.63,United States
PS4 • TechFire Smart LED **Slash** wireless controller • gift • playstation4• birthday gift • custom made with remote • christmas gift,https://i.etsystatic.com/14102023/d/il/e5f1d2/1861146507/il_340x270.1861146507_kmx3.jpg?version=0,https://www.etsy.com/in-en/listing/677237174/ps4-techfire-smart-led-slash-wireless?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-7&organic_search_click=1&pro=1,4.3214,41,151.99,United States
"Set of Gaming Prints - PS4 Gaming Print, Game Room Decor, Set of 2 Prints, Game Wall Art, Gaming Room Prints, A4 A3 Print, Gaming Wall Art",https://i.etsystatic.com/16585135/c/1888/1500/0/0/il/aa398d/1888635586/il_340x270.1888635586_qy2t.jpg,https://www.etsy.com/in-en/listing/695078838/set-of-gaming-prints-ps4-gaming-print?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-8&organic_search_click=1,4.7237,102,15.53,United States
PS4 Lightbar Vinyl Decal(x2),https://i.etsystatic.com/12386375/d/il/0f154c/1844526453/il_340x270.1844526453_e17t.jpg?version=0,https://www.etsy.com/in-en/listing/265779118/ps4-lightbar-vinyl-decalx2?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-9&organic_search_click=1,4.9444,101,2.99,United States
PS4 Controller Play Station SVG File,https://i.etsystatic.com/6140174/d/il/d09ebf/1453950716/il_340x270.1453950716_e1xb.jpg?version=0,https://www.etsy.com/in-en/listing/600900801/ps4-controller-play-station-svg-file?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-10&organic_search_click=1,5,168,2.36,United States
Spider Man ps4 mask faceshell,https://i.etsystatic.com/18793463/c/1987/1577/0/584/il/d5d928/1784061509/il_340x270.1784061509_fkb0.jpg,https://www.etsy.com/in-en/listing/658952114/spider-man-ps4-mask-faceshell?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-11&organic_search_click=1&cns=1,4.9041,73,149,United States
Leather Case for Leatherman Squirt PS4 ES4 Micra Multitool for keys leather sheath handmade keychain Pouch holster,https://i.etsystatic.com/18075287/d/il/261e8f/1847484214/il_340x270.1847484214_nf9l.jpg?version=0,https://www.etsy.com/in-en/listing/699146569/leather-case-for-leatherman-squirt-ps4?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-12&organic_search_click=1&col=1,5,87,14,United States
