Product Name,Image URL,Product URL,Ratings,No: of Responses,price,country
"Sony PS4 Slim 1 TB with Grand Theft Auto V, The Last of Us and Uncharted Collection (Limited Edition)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-ps4-slim-1-tb-grand-theft-auto-v-last-uncharted-collection-limited-edition/p/itmewf8zhw3mpg7j?pid=GMCEWF8ZPSATMHHB&lid=LSTGMCEWF8ZPSATMHHBVOESPL&marketplace=FLIPKART&srno=s_1_11&otracker=search&fm=organic&iid=4ea99232-3ea2-4faa-9815-02437ded8e0b.GMCEWF8ZPSATMHHB.SEARCH&qH=0e740342f31e9aa6,4.6,670,"₹29,999",India
Sony PlayStation 4 (PS4) Pro 1 TB,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-playstation-4-ps4-pro-1-tb/p/itmequgdg6ny3u7w?pid=GMCEQUGDRMDGYFQQ&lid=LSTGMCEQUGDRMDGYFQQIUOHND&marketplace=FLIPKART&spotlightTagId=TrendingId_4rr&srno=s_1_12&otracker=search&fm=organic&iid=da2a9c32-1536-41dc-81df-cf77efc6eb0b.GMCEQUGDRMDGYFQQ.SEARCH&qH=0e740342f31e9aa6,4.4,"1,466","₹35,200",India
Sony PlayStation 4 (PS4) 500 GB with FIFA 19 (Champions Edition) BUNDLE,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-playstation-4-ps4-500-gb-fifa-19-champions-edition-bundle/p/itmfbzahhdqfymg2?pid=GMCFBN99BCGQTFQH&lid=LSTGMCFBN99BCGQTFQHAYEAP4&marketplace=FLIPKART&srno=s_1_13&otracker=search&fm=organic&iid=68fe699b-b3e6-4524-8c1b-2749409ce502.GMCFBN99BCGQTFQH.SEARCH&qH=0e740342f31e9aa6,4.2,5,"₹25,499",India
Sony PlayStation 4 (PS4) Slim 1 TB with The Last of Us and Uncharted Collection,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-playstation-4-ps4-slim-1-tb-last-uncharted-collection/p/itmequgdh6gjhzvp?pid=GMCEQUGDJ9RDYGHZ&lid=LSTGMCEQUGDJ9RDYGHZ738CI4&marketplace=FLIPKART&srno=s_1_14&otracker=search&fm=organic&iid=2d3c4afa-d059-4cc1-ab0c-9abdfa2e090d.GMCEQUGDJ9RDYGHZ.SEARCH&qH=0e740342f31e9aa6,4.6,"1,040","₹27,900",India
Sony PlayStation 4 1 TB with The Last of Us,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-playstation-4-1-tb-last/p/itmf5q3xf4uguz8y?pid=GMCF5Q3X7BJGNH7C&lid=LSTGMCF5Q3X7BJGNH7CO1MLJF&marketplace=FLIPKART&srno=s_1_15&otracker=search&fm=organic&iid=f90ffa99-8dc5-4f49-baed-09678ec237df.GMCF5Q3X7BJGNH7C.SEARCH&qH=0e740342f31e9aa6,4.7,"3,264","₹32,290",India
Sony DualShock 4 Wireless Controller V2  Gamepad,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-dualshock-4-wireless-controller-v2-gamepad/p/itmf5yzxca4zfpbg?pid=ACCEUGP3SZAMHHFH&lid=LSTACCEUGP3SZAMHHFHVIJTMB&marketplace=FLIPKART&srno=s_1_16&otracker=search&fm=organic&iid=8cb55c4a-4f5b-4c61-946f-cb367675d0be.ACCEUGP3SZAMHHFH.SEARCH&qH=0e740342f31e9aa6,4.5,"1,116","₹3,899",India
Sony Ps4 Pro with Extra Controller One TB GB with Fifa 18,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-ps4-pro-extra-controller-one-tb-gb-fifa-18/p/itmfynhgtykxmcyb?pid=GMCFYNHGCXZ8FY4D&lid=LSTGMCFYNHGCXZ8FY4DBTAO6Y&marketplace=FLIPKART&srno=s_1_17&otracker=search&fm=organic&iid=7081767c-76d6-472e-8153-dff4bda6cec5.GMCFYNHGCXZ8FY4D.SEARCH&qH=0e740342f31e9aa6,4.4,15,"₹39,990",India
Sony PS4 V2 DUALSHOCK 4 WIRELESS  Motion Controller,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-ps4-v2-dualshock-4-wireless-motion-controller/p/itmezbww6pckkhss?pid=ACCEZBWWYSGZP2BP&lid=LSTACCEZBWWYSGZP2BPAOMNXB&marketplace=FLIPKART&srno=s_1_18&otracker=search&fm=organic&iid=c7f53e54-f3ff-4ce5-9cda-a5230790d9c2.ACCEZBWWYSGZP2BP.SEARCH&qH=0e740342f31e9aa6,4.4,"1,120","₹3,750",India
Sony PlayStation 4 (PS4) 1 TB with FIFA 19,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-playstation-4-ps4-1-tb-fifa-19/p/itmf9c2hsbhpcjdg?pid=GMCF9C2HCWGHZWNG&lid=LSTGMCF9C2HCWGHZWNGXUD9A3&marketplace=FLIPKART&srno=s_1_19&otracker=search&fm=organic&iid=b5fcc88c-70c2-48eb-bacc-c679dcea1801.GMCF9C2HCWGHZWNG.SEARCH&qH=0e740342f31e9aa6,4.7,"3,264","₹28,990",India
Sony PS4 V2 DUALSHOCK 4 WIRELESS  Motion Controller,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-ps4-v2-dualshock-4-wireless-motion-controller/p/itmezbww6pckkhss?pid=ACCEZGJPNV3AFTXZ&lid=LSTACCEZGJPNV3AFTXZTKDZMK&marketplace=FLIPKART&srno=s_1_20&otracker=search&fm=organic&iid=3095b4d8-7a9d-4b4d-9eff-72e06b508cf9.ACCEZGJPNV3AFTXZ.SEARCH&qH=0e740342f31e9aa6,4.4,"1,120","₹4,499",India
Sony PlayStation 4 (PS4) 500 GB with GTA 5 Bundle,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-playstation-4-ps4-500-gb-gta-5-bundle/p/itme2f765haytvsq?pid=GMCE2F75UHPFN7QJ&lid=LSTGMCE2F75UHPFN7QJMO3KMO&marketplace=FLIPKART&srno=s_1_21&otracker=search&fm=organic&iid=acfc5e05-fd2b-4a4c-9ceb-3df4f63c114a.GMCE2F75UHPFN7QJ.SEARCH&qH=0e740342f31e9aa6,4.2,182,"₹24,999",India
Sony PlayStation4 Slim New 1 TB 1000 GB with No,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-playstation4-slim-new-1-tb-1000-gb-no/p/itmeznhzuwmhxfsg?pid=GMCEZNHZW3PW78VB&lid=LSTGMCEZNHZW3PW78VBWI6OBE&marketplace=FLIPKART&srno=s_1_22&otracker=search&fm=organic&iid=be4ac8b0-f2ff-4feb-bd6b-0a5ba44311af.GMCEZNHZW3PW78VB.SEARCH&qH=0e740342f31e9aa6,4.3,206,"₹25,999",India
Sony PlayStation 4 (PS4) Slim 1 TB,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-playstation-4-ps4-slim-1-tb/p/itmf2amwhhyhdxau?pid=GMCF2AMWVXRJ3NZT&lid=LSTGMCF2AMWVXRJ3NZTIZTKMD&marketplace=FLIPKART&srno=s_1_23&otracker=search&fm=organic&iid=2e354476-6629-4ba9-93dd-af7a890fd8da.GMCF2AMWVXRJ3NZT.SEARCH&qH=0e740342f31e9aa6,4.6,382,"₹28,999",India
"Sony Ps4 Slim Console with extra Dualshock Controller 1TB GB with Uncharted Lost Legacy, GT Sport",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-ps4-slim-console-extra-dualshock-controller-1tb-gb-uncharted-lost-legacy-gt-sport/p/itmf8cmm8c9hfw2v?pid=GMCF8CH4426DYYHX&lid=LSTGMCF8CH4426DYYHXLDTAOM&marketplace=FLIPKART&srno=s_1_24&otracker=search&fm=organic&iid=99c1476e-1486-4433-ba99-98ef9e443083.GMCF8CH4426DYYHX.SEARCH&qH=0e740342f31e9aa6,4.2,5,"₹31,490",India
Sony Playstation PS4 Camera  Gaming Accessory Kit,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-playstation-ps4-camera-gaming-accessory-kit/p/itmeu7hyntpky4ax?pid=ACCEU7HYG6TWAKHV&lid=LSTACCEU7HYG6TWAKHVBXUQZR&marketplace=FLIPKART&srno=s_1_25&otracker=search&fm=organic&iid=292b8fd4-44a6-45e8-ac65-6e0d357cf324.ACCEU7HYG6TWAKHV.SEARCH&qH=0e740342f31e9aa6,4.5,17,"₹5,088",India
"Sony Ps4 Slim Console 1TB GB with Uncharted 4, Horizon Zero Dawn",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-ps4-slim-console-1tb-gb-uncharted-4-horizon-zero-dawn/p/itmf7s7gcwcrbspu?pid=GMCF7QBQQDQ3BR6M&lid=LSTGMCF7QBQQDQ3BR6M2ZKEXR&marketplace=FLIPKART&srno=s_1_26&otracker=search&fm=organic&iid=20df46ea-7705-4411-b84a-4c8b87d652fd.GMCF7QBQQDQ3BR6M.SEARCH&qH=0e740342f31e9aa6,3.3,7,"₹27,990",India
Sony Ps4 VR Launch Bundle  Motion Controller,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-ps4-vr-launch-bundle-motion-controller/p/itmf5mrgmga8rmka?pid=ACCF5MHNXEZUXNBJ&lid=LSTACCF5MHNXEZUXNBJQ3KAIU&marketplace=FLIPKART&srno=s_1_27&otracker=search&fm=organic&iid=1c084bc6-f28c-4781-8341-b12ed0c404b1.ACCF5MHNXEZUXNBJ.SEARCH&qH=0e740342f31e9aa6,4.2,18,"₹29,990",India
Sony PlayStation 4 1 TB GB with Marvel Spider Man,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-playstation-4-1-tb-gb-marvel-spider-man/p/itmf9nenfcjucxvx?pid=GMCF9NCS2TKVFXMS&lid=LSTGMCF9NCS2TKVFXMSY8F2GG&marketplace=FLIPKART&srno=s_1_28&otracker=search&fm=organic&iid=fbb53b19-166b-4766-baab-68107d9dc987.GMCF9NCS2TKVFXMS.SEARCH&qH=0e740342f31e9aa6,3.4,5,"₹27,000",India
Sony PlayStation 4 (PS4) Slim 1 TB with Call of Duty: Black Ops 4,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-playstation-4-ps4-slim-1-tb-call-duty-black-ops/p/itmfabhs5fgzw4bh?pid=GMCFABHSBHEGJ8HY&lid=LSTGMCFABHSBHEGJ8HY5GOVXK&marketplace=FLIPKART&srno=s_1_29&otracker=search&fm=organic&iid=a55531c9-f344-4866-82ad-ad38a9ce00f6.GMCFABHSBHEGJ8HY.SEARCH&qH=0e740342f31e9aa6,4.7,"3,264","₹28,990",India
Sony PlayStation 4 1 TB with Drive Club,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-playstation-4-1-tb-drive-club/p/itmfc9hwjaqgvnhn?pid=GMCFC9HWKRZFD4JD&lid=LSTGMCFC9HWKRZFD4JDP5BEM9&marketplace=FLIPKART&srno=s_1_30&otracker=search&fm=organic&iid=b84dafbc-f302-43ea-b3ae-0545054e3b7c.GMCFC9HWKRZFD4JD.SEARCH&qH=0e740342f31e9aa6,4.7,"3,264","₹29,990",India
Sony PlayStation 4 (PS4) Slim 1 TB with Uncharted 4 and Uncharted Collection,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-playstation-4-ps4-slim-1-tb-uncharted-collection/p/itmewgg6jzghvu8r?pid=GMCEWGG6X6FTC2DD&lid=LSTGMCEWGG6X6FTC2DDFUDWE7&marketplace=FLIPKART&srno=s_1_31&otracker=search&fm=organic&iid=3a0d3f37-7a32-4eac-b409-4fc7537ed99a.GMCEWGG6X6FTC2DD.SEARCH&qH=0e740342f31e9aa6,4.6,472,"₹27,990",India
"Sony PlayStation 4 (PS4) Slim 1 TB with Uncharted Collection, The Last of Us Remastered and God of War Remastered",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-playstation-4-ps4-slim-1-tb-uncharted-collection-last-remastered-god-war/p/itmeuxyfxy4qa7zx?pid=GMCEUXYFV86BF3HA&lid=LSTGMCEUXYFV86BF3HAZ9IVSJ&marketplace=FLIPKART&srno=s_1_32&otracker=search&fm=organic&iid=6469a81e-64f0-44e2-9cea-d1e4f5f27484.GMCEUXYFV86BF3HA.SEARCH&qH=0e740342f31e9aa6,4.7,250,"₹29,999",India
Sony Ps4 VR and Camera Bundle with Gran Turismo  Motion Controller,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-ps4-vr-camera-bundle-gran-turismo-motion-controller/p/itmfycda3bu645dc?pid=ACCFYBKHYTAKY3FC&lid=LSTACCFYBKHYTAKY3FC4MUHYH&marketplace=FLIPKART&srno=s_1_33&otracker=search&fm=organic&iid=1934f0b4-1689-46bf-ba92-8477898fb6a1.ACCFYBKHYTAKY3FC.SEARCH&qH=0e740342f31e9aa6,3.7,17,"₹23,990",India
Sony V2 Dualshock 4 Wireless Controller Transparent White  Gamepad,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-v2-dualshock-4-wireless-controller-transparent-white-gamepad/p/itmfgjxtj2pxdfmh?pid=ACCFGJUWZFHZ9QU2&lid=LSTACCFGJUWZFHZ9QU2THYPKP&marketplace=FLIPKART&srno=s_1_34&otracker=search&fm=organic&iid=741e9ac6-4bab-4125-880c-954ea7e083b8.ACCFGJUWZFHZ9QU2.SEARCH&qH=0e740342f31e9aa6,No ratings Provided,No responses available,"₹3,750",India
Sony PlayStation 4 (PS4) Slim 500 GB with Extra Dual Shock 4 Controller,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-playstation-4-ps4-slim-500-gb-extra-dual-shock-controller/p/itmeswqrsqt75vnk?pid=GMCESWQRKUMKBSVG&lid=LSTGMCESWQRKUMKBSVGCBV1YD&marketplace=FLIPKART&srno=s_1_35&otracker=search&fm=organic&iid=10a924a8-811e-4564-9527-37403079fbd6.GMCESWQRKUMKBSVG.SEARCH&qH=0e740342f31e9aa6,4.5,404,"₹26,990",India
Sony PlayStation 4 500 GB GB with Spider Man,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-playstation-4-500-gb-spider-man/p/itmf9z7czk2gdp43?pid=GMCF9Z4GVZCDHF2W&lid=LSTGMCF9Z4GVZCDHF2WDIUOSG&marketplace=FLIPKART&srno=s_1_36&otracker=search&fm=organic&iid=4337f7e1-399f-47f4-a31c-704fd201e559.GMCF9Z4GVZCDHF2W.SEARCH&qH=0e740342f31e9aa6,4.4,28,"₹26,790",India
Sony PS4 DualShock Controller - V2 (Gold)  Gamepad,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-ps4-dualshock-controller-v2-gold-gamepad/p/itmewgrevw5ezrfw?pid=ACCEWGRDCYTZRZTG&lid=LSTACCEWGRDCYTZRZTGF1HXT7&marketplace=FLIPKART&srno=s_1_37&otracker=search&fm=organic&iid=978eb2cd-e66e-4461-97c1-1edf56e2a30c.ACCEWGRDCYTZRZTG.SEARCH&qH=0e740342f31e9aa6,4.2,16,"₹4,290",India
Sony DualShock 4 Wireless Controller  Gamepad,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-dualshock-4-wireless-controller-gamepad/p/itmf92fyekyhgzmm?pid=ACCDUV4R4NHFKZEW&lid=LSTACCDUV4R4NHFKZEWBRGGXJ&marketplace=FLIPKART&srno=s_1_38&otracker=search&fm=organic&iid=d972b316-9c38-4c2a-8889-f151093df5f4.ACCDUV4R4NHFKZEW.SEARCH&qH=0e740342f31e9aa6,4.2,"2,237","₹4,915",India
Sony Ps4 Pro Console One TB GB with Call of Duty: WWII (PS4),//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-ps4-pro-console-one-tb-gb-call-duty-wwii-ps4/p/itmfy4pa3egkzkzy?pid=GMCFY4PAMRVSNG6U&lid=LSTGMCFY4PAMRVSNG6U0JMFTM&marketplace=FLIPKART&srno=s_1_39&otracker=search&fm=organic&iid=4ca99de3-99b1-468e-8812-3b504ecd3165.GMCFY4PAMRVSNG6U.SEARCH&qH=0e740342f31e9aa6,4.8,4,"₹36,990",India
Sony DualShock 4 Wireless Controller  Gamepad,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-dualshock-4-wireless-controller-gamepad/p/itmf92fyekyhgzmm?pid=ACCEEKNXJF9QKTAG&lid=LSTACCEEKNXJF9QKTAG7OIPRZ&marketplace=FLIPKART&srno=s_1_40&otracker=search&fm=organic&iid=3d9047c6-cffd-4369-99f5-8258689022c5.ACCEEKNXJF9QKTAG.SEARCH&qH=0e740342f31e9aa6,4.2,"2,237","₹4,199",India
Sony Ps4 Pro with extra Controller 1TB GB with No,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-ps4-pro-extra-controller-1tb-gb-no/p/itmf6rykpbz89jwv?pid=GMCF6QV7GBHUMMWS&lid=LSTGMCF6QV7GBHUMMWSGCWZOT&marketplace=FLIPKART&srno=s_2_41&otracker=search&fm=organic&iid=4c6c571a-9ead-4573-85fb-3f78c77ab145.GMCF6QV7GBHUMMWS.SEARCH&qH=0e740342f31e9aa6,3.7,20,"₹38,500",India
Sony Ps4 Slim Console 1TB GB with Spiderman,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-ps4-slim-console-1tb-gb-spiderman/p/itmf97mfthhzamff?pid=GMCF96VCGWWJHAYZ&lid=LSTGMCF96VCGWWJHAYZ5ENIJR&marketplace=FLIPKART&srno=s_2_42&otracker=search&fm=organic&iid=f7ca96d1-452b-4520-bc40-965f24ee82a9.GMCF96VCGWWJHAYZ.SEARCH&qH=0e740342f31e9aa6,5,2,"₹27,990",India
Sony PlayStation 4 (PS4) Slim 1 TB GB with Fifa 18,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,https://www.flipkart.com/sony-playstation-4-ps4-slim-1-tb-gb-fifa-18/p/itmf5wrwgadtwb7s?pid=GMCF5WKYZXHEUWHE&lid=LSTGMCF5WKYZXHEUWHESMAFD5&marketplace=FLIPKART&srno=s_2_43&otracker=search&fm=organic&iid=69cf48b6-8e29-4252-9112-63c89903adbe.GMCF5WKYZXHEUWHE.SEARCH&qH=0e740342f31e9aa6,4,4,"₹27,990",India
