Product Name,Image URL,Product URL,price,Ratings,No: of Responses,country
"AmazonBasics File Folders Pocket , Straight-Cut Tab, 5 1/4-Inch Expansion, Legal Size, Redrope, 50-Pack - AMZ74234",https://m.media-amazon.com/images/I/71beBC+meJL._AC_UL436_.jpg,https://www.amazon.in//AmazonBasics-Straight-Cut-Expansion-Redrope-50-Pack/dp/B0734WNZNR/ref=sxin_3_pb?keywords=file&pd_rd_i=B0734WNZNR&pd_rd_r=ecdb35fc-5ddb-481f-836a-68a308a46250&pd_rd_w=03SOO&pd_rd_wg=qM3qo&pf_rd_p=9ef0c97a-254b-445c-822b-c948e2d94ddd&pf_rd_r=8Q4E9X1KJH8WK182AREJ&qid=1562238075&s=gateway,39.,4.7 out of 5 stars,280,United States
"Topec 18Pcs File Set, Round and Flat File Kits are Made of High Carbon-Steel, Ideal Wooden Hand Tool for Woodwork, Metal, Model & Hobby Applications",https://m.media-amazon.com/images/I/71GxyXQ5f+L._AC_UL320_.jpg,https://www.amazon.in//Topec-Carbon-Steel-Wooden-Woodwork-Applications/dp/B07QK56DMZ/ref=sr_1_6?keywords=file&qid=1562238075&s=gateway&sr=8-6,32.,4.8 out of 5 stars,16,United States
"Needle File Set (HIGHEST QUALITY 6 PIECE SET) Hardened Alloy Strength Steel - Mini Needle File Set Includes Flat, Flat Warding, Square, Triangular, Round, and Half-Round File.",https://m.media-amazon.com/images/I/71p-p3hDiUL._AC_UL320_.jpg,https://www.amazon.in//gp/bestsellers/hi/242721011/ref=sr_bs_6_242721011_1,7.,4.3 out of 5 stars,545,United States
"AmazonBasics Expanding Organizer File Folder, Letter Size - Black",https://m.media-amazon.com/images/I/71-kJeNLUiL._AC_UL320_.jpg,https://www.amazon.in//AmazonBasics-Expanding-File-Letter-Size/dp/B01B25NN64/ref=ice_ac_b_dpb?keywords=file&qid=1562238075&s=gateway&sr=8-8,6.,4.4 out of 5 stars,"1,634",United States
"MINI Needle File Set (Carbon Steel 6 Piece-Set) Hardened Alloy Strength Steel - Set Includes Flat, Flat Warding, Square, Triangular, Round, and Half-Round File(6'' Total Length)",https://m.media-amazon.com/images/I/71Q80ql3afL._AC_UL320_.jpg,https://www.amazon.in//Needle-HIGHEST-QUALITY-Hardened-Strength/dp/B07KH8BG1F/ref=sr_1_9?keywords=file&qid=1562238075&s=gateway&sr=8-9,6.,3.9 out of 5 stars,35,United States
"Pendaflex File Folders, Letter Size, 8-1/2"" x 11"", Classic Manila, 1/3-Cut Tabs in Left, Right, Center Positions, 100 Per Box (65213)",https://m.media-amazon.com/images/I/71dSKSsN-9L._AC_UL320_.jpg,https://www.amazon.in//gp/bestsellers/office-products/705334011/ref=sr_bs_9_705334011_1,9.,4.4 out of 5 stars,605,United States
"Neiko 00109A Heavy Duty File and Rasp Set, 12 Piece | PVC Handle",https://m.media-amazon.com/images/I/71oBtujqRsL._AC_UL320_.jpg,https://www.amazon.in//Neiko-00109A-Heavy-Piece-Handle/dp/B001SUASW6/ref=sr_1_11?keywords=file&qid=1562238075&s=gateway&sr=8-11,19.,4.2 out of 5 stars,75,United States
Internet's Best Collapsible File Storage Organizer | Decorative Linen Filing & Storage Office Box | Letter/Legal | Charcoal | 1 Pack,https://m.media-amazon.com/images/I/A1t0I2NiQUL._AC_UL320_.jpg,https://www.amazon.in//Internets-Best-Collapsible-Organizer-Decorative/dp/B079ZNH4B3/ref=sr_1_12?keywords=file&qid=1562238075&s=gateway&sr=8-12,24.,4.5 out of 5 stars,319,United States
AmazonBasics Hanging Organizer File Folders - Letter Size (25 Pack) - Assorted Colors - AMZ101,https://m.media-amazon.com/images/I/91Gph1pFN4L._AC_UL320_.jpg,https://www.amazon.in//AmazonBasics-Hanging-File-Folders-Assorted/dp/B00V5DGA14/ref=sr_1_13?keywords=file&qid=1562238075&s=gateway&sr=8-13,9.,4.7 out of 5 stars,"1,172",United States
"Pendaflex Portable Desktop File, Side Handles, Hanging File Folders, Tabs & Inserts, Letter Size, 9-1/2 Inches x 12-3/16 Inches x 6 Inches, Black (23013)",https://m.media-amazon.com/images/I/81Xicf50LPL._AC_UL320_.jpg,https://www.amazon.in//Pendaflex-Portable-Desktop-Handles-23013/dp/B0012VIJGS/ref=sr_1_14?keywords=file&qid=1562238075&s=gateway&sr=8-14,10.,4.5 out of 5 stars,553,United States
"Pendaflex Portable Desktop File, Side Handles, Hanging File Folders, Tabs & Inserts, Letter Size, 9-1/2 Inches x 12-3/16 Inches x 6 Inches, Black (23013)",https://m.media-amazon.com/images/I/81Xicf50LPL._AC_UL320_.jpg,https://www.amazon.in//Pendaflex-Portable-Desktop-Handles-23013/dp/B0012VIJGS/ref=sr_1_14?keywords=file&qid=1562238075&s=gateway&sr=8-14,21.,4.5 out of 5 stars,553,United States
AmazonBasics AMZ401  File Folders - Letter Size (100 Pack) – Assorted Colors,https://m.media-amazon.com/images/I/81HLgVOZ1nL._AC_UL320_.jpg,https://www.amazon.in//gp/bestsellers/office-products/705333011/ref=sr_bs_14_705333011_1,14.,4.6 out of 5 stars,598,United States
JinFeng Needle File Set(6 PIECE HIGH CARBON STEEL PRECISION) Hand Metal Tools,https://m.media-amazon.com/images/I/71MkGqt0fjL._AC_UL320_.jpg,https://www.amazon.in//JinFeng-Needle-PIECE-CARBON-PRECISION/dp/B07FJQ9XKG/ref=sr_1_16?keywords=file&qid=1562238075&s=gateway&sr=8-16,8.,4.2 out of 5 stars,71,United States
"AmazonBasics Hanging Organizer File Folders - Letter Size, Green, 25-Pack - AMZ100",https://m.media-amazon.com/images/I/91BEmCzs1ZL._AC_UL320_.jpg,https://www.amazon.in//gp/bestsellers/office-products/1069616/ref=sr_bs_16_1069616_1,8.,4.6 out of 5 stars,"1,886",United States
Reciprotools RCT-HRM-10 Half Round File Metal Use Accessory Attachment,https://m.media-amazon.com/images/I/31ufgZ8GsFL._AC_UL320_.jpg,https://www.amazon.in//Reciprotools-RCT-HRM-10-Round-Accessory-Attachment/dp/B001CNE3SO/ref=sr_1_18?keywords=file&qid=1562238075&s=gateway&sr=8-18,6.,3.7 out of 5 stars,21,United States
Finder 8'' Semi Round Hand Rasp File Set with Rubber Grip + Plastic Handles - Hand Cut Half-round (Half Round File),https://m.media-amazon.com/images/I/7152FPJeGdL._AC_UL320_.jpg,https://www.amazon.in//Finder-Round-Rubber-Plastic-Handles/dp/B076FYGMYZ/ref=sr_1_23?keywords=file&qid=1562238075&s=gateway&sr=8-23,12.,4.6 out of 5 stars,40,United States
"IRIS USA, Inc. R-FB-21E Letter and Legal Size File Box, Black, 4 Pack",https://m.media-amazon.com/images/I/81D1oq3DuFL._AC_UL320_.jpg,https://www.amazon.in//IRIS-USA-Inc-R-FB-21E-Letter/dp/B07CQ919KP/ref=sr_1_24?keywords=file&qid=1562238075&s=gateway&sr=8-24,31.,3.7 out of 5 stars,313,United States
"Lorell LLR17427 SOHO Mobile Cabinet, Black",https://m.media-amazon.com/images/I/71Pd3qxh-YL._AC_UL320_.jpg,https://www.amazon.in//Lorell-Mobile-Cabinet-21-80-18-00/dp/B004GZBHZM/ref=sr_1_25?keywords=file&qid=1562238075&s=gateway&sr=8-25,54.,3.6 out of 5 stars,737,United States
3 Piece 8 inches Metal Coarse File Tools Set Rubber Anti-slip Handles - Flat/Round/Half Round Carbon Steel Rasp Files Set For Filing Metal/Wood/Leather with Storage Pouch and a Brass Brush,https://m.media-amazon.com/images/I/61sNfLV3UQL._AC_UL320_.jpg,https://www.amazon.in//inches-Coarse-Rubber-Anti-slip-Handles/dp/B077D2B5BT/ref=sr_1_28?keywords=file&qid=1562238075&s=gateway&sr=8-28,19.,4.8 out of 5 stars,12,United States
"AmazonBasics File Folders Pocket , Straight-Cut Tab, 5 1/4-Inch Expansion, Legal Size, Redrope, 50-Pack - AMZ74234",https://m.media-amazon.com/images/I/71beBC+meJL._AC_UL320_.jpg,https://www.amazon.in//AmazonBasics-Straight-Cut-Expansion-Redrope-50-Pack/dp/B0734WNZNR/ref=sr_1_29?keywords=file&qid=1562238075&s=gateway&sr=8-29,36.,4.7 out of 5 stars,280,United States
"AmazonBasics File Folders Pocket , Straight-Cut Tab, 5 1/4-Inch Expansion, Legal Size, Redrope, 50-Pack - AMZ74234",https://m.media-amazon.com/images/I/71beBC+meJL._AC_UL320_.jpg,https://www.amazon.in//AmazonBasics-Straight-Cut-Expansion-Redrope-50-Pack/dp/B0734WNZNR/ref=sr_1_29?keywords=file&qid=1562238075&s=gateway&sr=8-29,39.,4.7 out of 5 stars,280,United States
AmazonBasics Mesh Six Slot File Storage Office Organizer with Double Tray,https://m.media-amazon.com/images/I/A1OaFIMQ-0L._AC_UL320_.jpg,https://www.amazon.in//AmazonBasics-Mesh-Slot-Organizer-Double/dp/B07JJJHDRY/ref=sr_1_30?keywords=file&qid=1562238075&s=gateway&sr=8-30,24.,4.3 out of 5 stars,79,United States
AmazonBasics Mesh Six Slot File Storage Office Organizer with Double Tray,https://m.media-amazon.com/images/I/A1OaFIMQ-0L._AC_UL320_.jpg,https://www.amazon.in//AmazonBasics-Mesh-Slot-Organizer-Double/dp/B07JJJHDRY/ref=sr_1_30?keywords=file&qid=1562238075&s=gateway&sr=8-30,25.,4.3 out of 5 stars,79,United States
"AmazonBasics Pressboard Classification File Folder with Fasteners, 2 Dividers, 2 Inch Expansion, Letter Size, Gray/Green, 10-Pack",https://m.media-amazon.com/images/I/71Z1boTaX0L._AC_UL320_.jpg,https://www.amazon.in//gp/bestsellers/office-products/490821011/ref=sr_bs_31_490821011_1,18.,4.4 out of 5 stars,115,United States
"DS-Space High Carbon Steel File Set with Wooden Handles Rasp File for Wood, Metal, Plastic, 5 Pieces (Steel File, Medium)",https://m.media-amazon.com/images/I/71FRkf49zOL._AC_UL320_.jpg,https://www.amazon.in//DS-Space-Carbon-Wooden-Handles-Plastic/dp/B074J5RJFW/ref=sr_1_35?keywords=file&qid=1562238075&s=gateway&sr=8-35,25.,4.4 out of 5 stars,43,United States
"Pendaflex Two-Tone Color File Folders, Letter Size, Assorted Colors (Bright Green, Yellow, Red, Blue), 1/3-Cut Tabs, Assorted, 36 Pack (03086)",https://m.media-amazon.com/images/I/61XX5VvsQFL._AC_UL320_.jpg,https://www.amazon.in//Pendaflex-Two-Tone-Folders-Assorted-03086/dp/B075332F51/ref=sr_1_36?keywords=file&qid=1562238075&s=gateway&sr=8-36,7.,4.7 out of 5 stars,197,United States
"Pendaflex Heavy Duty Expanding File with Extra-Thick Cover, Tyvek Reinforced Edges, 21 Pockets, A–Z Tabs, Elastic Cord Closure, Letter Size (R117ALHD)",https://m.media-amazon.com/images/I/51ig1YzBm7L._AC_UL320_.jpg,https://www.amazon.in//gp/bestsellers/office-products/1069612/ref=sr_bs_36_1069612_1,9.,4.7 out of 5 stars,344,United States
SE 10-Piece Diamond Needle File Set with 150 Grit,https://m.media-amazon.com/images/I/81KvY1DPimL._AC_UL320_.jpg,https://www.amazon.in//SE-744DF-R-Diamond-Needle-Piece/dp/B0011565LG/ref=sr_1_38?keywords=file&qid=1562238075&s=gateway&sr=8-38,8.,4.1 out of 5 stars,67,United States
"TACKLIFE 11-Piece Diamond Needle File And Alloy Steel File Set for Woodwork, Metal And Hobby Projects, 150 Grit - FS01",https://m.media-amazon.com/images/I/71tyisbPYfL._AC_UL320_.jpg,https://www.amazon.in//TACKLIFE-11-Piece-Diamond-Woodwork-Projects/dp/B07MZVRTC8/ref=sr_1_40?keywords=file&qid=1562238075&s=gateway&sr=8-40,11.,4.1 out of 5 stars,19,United States
"Globe-Weis Poly File Folder Pockets, Letter Size, Assorted Colors, 5 Pockets per Pack (83999)",https://m.media-amazon.com/images/I/71GPSK1wmsL._AC_UL320_.jpg,https://www.amazon.in//Globe-Weis-Folder-Pockets-Assorted-83999/dp/B000O5FUH4/ref=sr_1_41?keywords=file&qid=1562238075&s=gateway&sr=8-41,7.,5.0 out of 5 stars,4,United States
"Simonds 6 Piece Needle File Set, Swiss Pattern, Double Cut, #2 Coarseness, 5-1/2"" Length",https://m.media-amazon.com/images/I/71LSRDMeZJL._AC_UL320_.jpg,https://www.amazon.in//gp/bestsellers/hi/242707011/ref=sr_bs_41_242707011_1,21.,4.7 out of 5 stars,12,United States
"Smead File Folder, 1/3-Cut Tab, Assorted Position, Letter Size, Manila, 200 Per Box (10382)",https://m.media-amazon.com/images/I/51bNK6gvuQL._AC_UL320_.jpg,https://www.amazon.in//Smead-Folder-Letter-Manila-10382/dp/B06Y2569Q6/ref=sr_1_44?keywords=file&qid=1562238075&s=gateway&sr=8-44,19.,4.6 out of 5 stars,253,United States
"Pendaflex Recycled Hanging File Folders, Letter Size, Assorted Jewel-Tone Colors, Two-Tone for Foolproof Filing, 1/5-Cut Tabs, 25 Per Box (81667)",https://m.media-amazon.com/images/I/71LHFL10y5L._AC_UL320_.jpg,https://www.amazon.in//Pendaflex-Recycled-Jewel-Tone-Foolproof-81667/dp/B076D73KYY/ref=sr_1_45?keywords=file&qid=1562238075&s=gateway&sr=8-45,13.,4.4 out of 5 stars,47,United States
"MulWark 9pcs Premium Grade Tempered High Carbon Steel Carpenter File Set with Flat, Round Rasp, Half Round Flat & Mini Needle Files-Idea Files to Shape, Sharpen, De-burr Hobby Model, Soft Metal & Wood",https://m.media-amazon.com/images/I/61WmAynAiVL._AC_UL320_.jpg,https://www.amazon.in//MulWark-Tempered-Carpenter-Kit-Round-Assortment/dp/B0728HH8KG/ref=sr_1_47?keywords=file&qid=1562238075&s=gateway&sr=8-47,19.,4.5 out of 5 stars,54,United States
