Product Name,Image URL,Product URL,price,Ratings,No: of Responses,country,remark
"AmazonBasics File Folders Pocket , Straight-Cut Tab, 5 1/4-Inch Expansion, Legal Size, Redrope, 50-Pack - AMZ74234",https://m.media-amazon.com/images/I/71beBC+meJL._AC_UL436_.jpg,https://www.amazon.in//AmazonBasics-Straight-Cut-Expansion-Redrope-50-Pack/dp/B0734WNZNR/ref=sxin_3_pb?keywords=file&pd_rd_i=B0734WNZNR&pd_rd_r=42c6457b-d483-4c15-ba1e-1ad772c285b6&pd_rd_w=sfNgO&pd_rd_wg=hODKa&pf_rd_p=9ef0c97a-254b-445c-822b-c948e2d94ddd&pf_rd_r=MV5A02ZN98BQ3G90KMND&qid=1562435094&s=gateway,36.,4.7 out of 5 stars,281,United States,
"AmazonBasics File Folders Pocket , Straight-Cut Tab, 5 1/4-Inch Expansion, Legal Size, Redrope, 50-Pack - AMZ74234",https://m.media-amazon.com/images/I/71beBC+meJL._AC_UL436_.jpg,https://www.amazon.in//AmazonBasics-Straight-Cut-Expansion-Redrope-50-Pack/dp/B0734WNZNR/ref=sxin_3_pb?keywords=file&pd_rd_i=B0734WNZNR&pd_rd_r=42c6457b-d483-4c15-ba1e-1ad772c285b6&pd_rd_w=sfNgO&pd_rd_wg=hODKa&pf_rd_p=9ef0c97a-254b-445c-822b-c948e2d94ddd&pf_rd_r=MV5A02ZN98BQ3G90KMND&qid=1562435094&s=gateway,39.,4.7 out of 5 stars,281,United States,
"Topec 18Pcs File Set, Round and Flat File Kits are Made of High Carbon-Steel, Ideal Wooden Hand Tool for Woodwork, Metal, Model & Hobby Applications",https://m.media-amazon.com/images/I/71GxyXQ5f+L._AC_UL320_.jpg,https://www.amazon.in//Topec-Carbon-Steel-Wooden-Woodwork-Applications/dp/B07QK56DMZ/ref=sr_1_5?keywords=file&qid=1562435094&s=gateway&sr=8-5,32.,4.8 out of 5 stars,16,United States,
"Pendaflex File Folders, Letter Size, 8-1/2"" x 11"", Classic Manila, 1/3-Cut Tabs in Left, Right, Center Positions, 100 Per Box (65213)",https://m.media-amazon.com/images/I/71dSKSsN-9L._AC_UL320_.jpg,https://www.amazon.in//gp/bestsellers/office-products/705334011/ref=sr_bs_5_705334011_1,9.,4.4 out of 5 stars,606,United States,
"AmazonBasics Expanding Organizer File Folder, Letter Size - Black",https://m.media-amazon.com/images/I/71-kJeNLUiL._AC_UL320_.jpg,https://www.amazon.in//AmazonBasics-Expanding-File-Letter-Size/dp/B01B25NN64/ref=ice_ac_b_dpb?keywords=file&qid=1562435094&s=gateway&sr=8-7,6.,4.4 out of 5 stars,"1,639",United States,
"Neiko 00109A Heavy Duty File and Rasp Set, 12 Piece | PVC Handle",https://m.media-amazon.com/images/I/71oBtujqRsL._AC_UL320_.jpg,https://www.amazon.in//Neiko-00109A-Heavy-Piece-Handle/dp/B001SUASW6/ref=sr_1_8?keywords=file&qid=1562435094&s=gateway&sr=8-8,19.,4.2 out of 5 stars,75,United States,
"MINI Needle File Set (Carbon Steel 6 Piece-Set) Hardened Alloy Strength Steel - Set Includes Flat, Flat Warding, Square, Triangular, Round, and Half-Round File(6'' Total Length)",https://m.media-amazon.com/images/I/71Q80ql3afL._AC_UL320_.jpg,https://www.amazon.in//Needle-HIGHEST-QUALITY-Hardened-Strength/dp/B07KH8BG1F/ref=sr_1_9?keywords=file&qid=1562435094&s=gateway&sr=8-9,6.,3.9 out of 5 stars,35,United States,
Internet's Best Collapsible File Storage Organizer | Decorative Linen Filing & Storage Office Box | Letter/Legal | Charcoal | 1 Pack,https://m.media-amazon.com/images/I/A1t0I2NiQUL._AC_UL320_.jpg,https://www.amazon.in//Internets-Best-Collapsible-Organizer-Decorative/dp/B079ZNH4B3/ref=sr_1_10?keywords=file&qid=1562435094&s=gateway&sr=8-10,24.,4.5 out of 5 stars,319,United States,
AmazonBasics Hanging Organizer File Folders - Letter Size (25 Pack) - Assorted Colors - AMZ101,https://m.media-amazon.com/images/I/91Gph1pFN4L._AC_UL320_.jpg,https://www.amazon.in//AmazonBasics-Hanging-File-Folders-Assorted/dp/B00V5DGA14/ref=sr_1_11?keywords=file&qid=1562435094&s=gateway&sr=8-11,9.,4.7 out of 5 stars,"1,177",United States,
AmazonBasics AMZ401  File Folders - Letter Size (100 Pack) – Assorted Colors,https://m.media-amazon.com/images/I/81HLgVOZ1nL._AC_UL320_.jpg,https://www.amazon.in//gp/bestsellers/office-products/705333011/ref=sr_bs_11_705333011_1,14.,4.6 out of 5 stars,599,United States,
"AmazonBasics Hanging Organizer File Folders - Letter Size, Green, 25-Pack - AMZ100",https://m.media-amazon.com/images/I/91BEmCzs1ZL._AC_UL320_.jpg,https://www.amazon.in//gp/bestsellers/office-products/1069616/ref=sr_bs_12_1069616_1,8.,4.6 out of 5 stars,"1,891",United States,
"Pendaflex Portable Desktop File, Side Handles, Hanging File Folders, Tabs & Inserts, Letter Size, 9-1/2 Inches x 12-3/16 Inches x 6 Inches, Black (23013)",https://m.media-amazon.com/images/I/81Xicf50LPL._AC_UL320_.jpg,https://www.amazon.in//Pendaflex-Portable-Desktop-Handles-23013/dp/B0012VIJGS/ref=sr_1_15?keywords=file&qid=1562435094&s=gateway&sr=8-15,10.,4.5 out of 5 stars,554,United States,
"Pendaflex Portable Desktop File, Side Handles, Hanging File Folders, Tabs & Inserts, Letter Size, 9-1/2 Inches x 12-3/16 Inches x 6 Inches, Black (23013)",https://m.media-amazon.com/images/I/81Xicf50LPL._AC_UL320_.jpg,https://www.amazon.in//Pendaflex-Portable-Desktop-Handles-23013/dp/B0012VIJGS/ref=sr_1_15?keywords=file&qid=1562435094&s=gateway&sr=8-15,21.,4.5 out of 5 stars,554,United States,
JinFeng Needle File Set(6 PIECE HIGH CARBON STEEL PRECISION) Hand Metal Tools,https://m.media-amazon.com/images/I/71MkGqt0fjL._AC_UL320_.jpg,https://www.amazon.in//JinFeng-Needle-PIECE-CARBON-PRECISION/dp/B07FJQ9XKG/ref=sr_1_16?keywords=file&qid=1562435094&s=gateway&sr=8-16,8.,4.2 out of 5 stars,72,United States,
3 Piece 8 inches Metal Coarse File Tools Set Rubber Anti-slip Handles - Flat/Round/Half Round Carbon Steel Rasp Files Set For Filing Metal/Wood/Leather with Storage Pouch and a Brass Brush,https://m.media-amazon.com/images/I/61sNfLV3UQL._AC_UL320_.jpg,https://www.amazon.in//inches-Coarse-Rubber-Anti-slip-Handles/dp/B077D2B5BT/ref=sr_1_17?keywords=file&qid=1562435094&s=gateway&sr=8-17,19.,4.8 out of 5 stars,12,United States,
Finder 8'' Semi Round Hand Rasp File Set with Rubber Grip + Plastic Handles - Hand Cut Half-round (Half Round File),https://m.media-amazon.com/images/I/7152FPJeGdL._AC_UL320_.jpg,https://www.amazon.in//Finder-Round-Rubber-Plastic-Handles/dp/B076FYGMYZ/ref=sr_1_23?keywords=file&qid=1562435094&s=gateway&sr=8-23,12.,4.6 out of 5 stars,40,United States,
Reciprotools RCT-HRM-10 Half Round File Metal Use Accessory Attachment,https://m.media-amazon.com/images/I/31ufgZ8GsFL._AC_UL320_.jpg,https://www.amazon.in//Reciprotools-RCT-HRM-10-Round-Accessory-Attachment/dp/B001CNE3SO/ref=sr_1_25?keywords=file&qid=1562435094&s=gateway&sr=8-25,6.,3.7 out of 5 stars,21,United States,
"IRIS USA, Inc. R-FB-21E Letter and Legal Size File Box, Black, 4 Pack",https://m.media-amazon.com/images/I/81D1oq3DuFL._AC_UL320_.jpg,https://www.amazon.in//IRIS-USA-Inc-R-FB-21E-Letter/dp/B07CQ919KP/ref=sr_1_26?keywords=file&qid=1562435094&s=gateway&sr=8-26,31.,3.7 out of 5 stars,313,United States,
"Lorell LLR17427 SOHO Mobile Cabinet, Black",https://m.media-amazon.com/images/I/71Pd3qxh-YL._AC_UL320_.jpg,https://www.amazon.in//Lorell-Mobile-Cabinet-21-80-18-00/dp/B004GZBHZM/ref=sr_1_27?keywords=file&qid=1562435094&s=gateway&sr=8-27,54.,3.6 out of 5 stars,741,United States,
"AmazonBasics File Folders Pocket , Straight-Cut Tab, 5 1/4-Inch Expansion, Legal Size, Redrope, 50-Pack - AMZ74234",https://m.media-amazon.com/images/I/71beBC+meJL._AC_UL320_.jpg,https://www.amazon.in//AmazonBasics-Straight-Cut-Expansion-Redrope-50-Pack/dp/B0734WNZNR/ref=sr_1_29?keywords=file&qid=1562435094&s=gateway&sr=8-29,36.,4.7 out of 5 stars,281,United States,
"AmazonBasics File Folders Pocket , Straight-Cut Tab, 5 1/4-Inch Expansion, Legal Size, Redrope, 50-Pack - AMZ74234",https://m.media-amazon.com/images/I/71beBC+meJL._AC_UL320_.jpg,https://www.amazon.in//AmazonBasics-Straight-Cut-Expansion-Redrope-50-Pack/dp/B0734WNZNR/ref=sr_1_29?keywords=file&qid=1562435094&s=gateway&sr=8-29,39.,4.7 out of 5 stars,281,United States,
AmazonBasics Mesh Six Slot File Storage Office Organizer with Double Tray,https://m.media-amazon.com/images/I/A1OaFIMQ-0L._AC_UL320_.jpg,https://www.amazon.in//AmazonBasics-Mesh-Slot-Organizer-Double/dp/B07JJJHDRY/ref=sr_1_31?keywords=file&qid=1562435094&s=gateway&sr=8-31,22.,4.3 out of 5 stars,81,United States,
AmazonBasics Mesh Six Slot File Storage Office Organizer with Double Tray,https://m.media-amazon.com/images/I/A1OaFIMQ-0L._AC_UL320_.jpg,https://www.amazon.in//AmazonBasics-Mesh-Slot-Organizer-Double/dp/B07JJJHDRY/ref=sr_1_31?keywords=file&qid=1562435094&s=gateway&sr=8-31,25.,4.3 out of 5 stars,81,United States,
SE 10-Piece Mini Diamond Needle File Set,https://m.media-amazon.com/images/I/71c5RKWTL-L._AC_UL320_.jpg,https://www.amazon.in//SE-73810DF-10-Piece-Diamond-Needle/dp/B0019N6CV8/ref=sr_1_32?keywords=file&qid=1562435094&s=gateway&sr=8-32,9.,4.1 out of 5 stars,214,United States,
SE 10-Piece Mini Diamond Needle File Set,https://m.media-amazon.com/images/I/71c5RKWTL-L._AC_UL320_.jpg,https://www.amazon.in//SE-73810DF-10-Piece-Diamond-Needle/dp/B0019N6CV8/ref=sr_1_32?keywords=file&qid=1562435094&s=gateway&sr=8-32,13.,4.1 out of 5 stars,214,United States,
"TACKLIFE 11-Piece Diamond Needle File And Alloy Steel File Set for Woodwork, Metal And Hobby Projects, 150 Grit - FS01",https://m.media-amazon.com/images/I/71tyisbPYfL._AC_UL320_.jpg,https://www.amazon.in//TACKLIFE-11-Piece-Diamond-Woodwork-Projects/dp/B07MZVRTC8/ref=sr_1_33?keywords=file&qid=1562435094&s=gateway&sr=8-33,11.,4.1 out of 5 stars,19,United States,
"AmazonBasics Pressboard Classification File Folder with Fasteners, 2 Dividers, 2 Inch Expansion, Letter Size, Gray/Green, 10-Pack",https://m.media-amazon.com/images/I/71Z1boTaX0L._AC_UL320_.jpg,https://www.amazon.in//gp/bestsellers/office-products/490821011/ref=sr_bs_33_490821011_1,18.,4.4 out of 5 stars,115,United States,
"Pendaflex Two-Tone Color File Folders, Letter Size, Assorted Colors (Bright Green, Yellow, Red, Blue), 1/3-Cut Tabs, Assorted, 36 Pack (03086)",https://m.media-amazon.com/images/I/61XX5VvsQFL._AC_UL320_.jpg,https://www.amazon.in//Pendaflex-Two-Tone-Folders-Assorted-03086/dp/B075332F51/ref=sr_1_37?keywords=file&qid=1562435094&s=gateway&sr=8-37,7.,4.7 out of 5 stars,202,United States,
"DS-Space High Carbon Steel File Set with Wooden Handles Rasp File for Wood, Metal, Plastic, 5 Pieces (Steel File, Medium)",https://m.media-amazon.com/images/I/71FRkf49zOL._AC_UL320_.jpg,https://www.amazon.in//DS-Space-Carbon-Wooden-Handles-Plastic/dp/B074J5RJFW/ref=sr_1_38?keywords=file&qid=1562435094&s=gateway&sr=8-38,25.,4.4 out of 5 stars,43,United States,
"Simonds 6 Piece Needle File Set, Swiss Pattern, Double Cut, #2 Coarseness, 5-1/2"" Length",https://m.media-amazon.com/images/I/71LSRDMeZJL._AC_UL320_.jpg,https://www.amazon.in//Simonds-Needle-Pattern-Double-Coarseness/dp/B0050EBH0S/ref=sr_1_40?keywords=file&qid=1562435094&s=gateway&sr=8-40,21.,4.7 out of 5 stars,12,United States,
"AmazonBasics Manila File Folders with Fasteners - Legal Size, 50-Pack - AMZ210",https://m.media-amazon.com/images/I/816edXU5ZtL._AC_UL320_.jpg,https://www.amazon.in//AmazonBasics-Manila-File-Folders-Fasteners/dp/B072WXCFWC/ref=sr_1_42?keywords=file&qid=1562435094&s=gateway&sr=8-42,19.,4.4 out of 5 stars,307,United States,
"Globe-Weis Poly File Folder Pockets, Letter Size, Assorted Colors, 5 Pockets per Pack (83999)",https://m.media-amazon.com/images/I/71GPSK1wmsL._AC_UL320_.jpg,https://www.amazon.in//Globe-Weis-Folder-Pockets-Assorted-83999/dp/B000O5FUH4/ref=sr_1_43?keywords=file&qid=1562435094&s=gateway&sr=8-43,7.,5.0 out of 5 stars,4,United States,
"Wood Rasp with Premium Grade High Carbon Hand File and Round Rasp, Half Round Flat & Needle Files. Best Wood Rasp Set for Sharping Wood and Metal Tools",https://m.media-amazon.com/images/I/41L5SRDOjbL._AC_UL320_.jpg,https://www.amazon.in//gp/bestsellers/hi/242713011/ref=sr_bs_43_242713011_1,9.,4.6 out of 5 stars,44,United States,
"MulWark 9pcs Premium Grade Tempered High Carbon Steel Carpenter File Set with Flat, Round Rasp, Half Round Flat & Mini Needle Files-Idea Files to Shape, Sharpen, De-burr Hobby Model, Soft Metal & Wood",https://m.media-amazon.com/images/I/61WmAynAiVL._AC_UL320_.jpg,https://www.amazon.in//MulWark-Tempered-Carpenter-Kit-Round-Assortment/dp/B0728HH8KG/ref=sr_1_46?keywords=file&qid=1562435094&s=gateway&sr=8-46,19.,4.5 out of 5 stars,54,United States,
24 Pockets Expanding Files Folder/ A4 Expandable File Organizer/Portable Accordion File Folder/High Capacity Multicolour Stand/Plastic Business File Organizer Box-by Blinyang,https://m.media-amazon.com/images/I/71sbk0xoifL._AC_UL320_.jpg,https://www.amazon.in//Expanding-Expandable-Organizer-Multicolour-Blinyang/dp/B0754K6GHQ/ref=sr_1_47?keywords=file&qid=1562435094&s=gateway&sr=8-47,10.,4.3 out of 5 stars,98,United States,
"Pendaflex Recycled Hanging File Folders, Letter Size, Assorted Jewel-Tone Colors, Two-Tone for Foolproof Filing, 1/5-Cut Tabs, 25 Per Box (81667)",https://m.media-amazon.com/images/I/71LHFL10y5L._AC_UL320_.jpg,https://www.amazon.in//Pendaflex-Recycled-Jewel-Tone-Foolproof-81667/dp/B076D73KYY/ref=sr_1_49?keywords=file&qid=1562435094&s=gateway&sr=8-49,13.,4.4 out of 5 stars,48,United States,
"Case Files Family Medicine, Fourth Edition",https://m.media-amazon.com/images/I/51RixurIDqL._AC_UL320_.jpg,https://www.amazon.in//Case-Files-Family-Medicine-Fourth/dp/1259587703/ref=sr_1_50?keywords=file&qid=1562435094&s=gateway&sr=8-50,26.,4.4 out of 5 stars,41,United States,
"Fireproof File Folder Fireproof Fire and Water Resistant Money Document Bag with A4 Size 13 Pockets Zipper Closure Non-itchy Silicone Coated Portable Filing Organizer Pouch(14.3"" x 9.8"")",https://m.media-amazon.com/images/I/815ayUA2yuL._AC_UL320_.jpg,https://www.amazon.in//Fireproof-Resistant-Document-Non-itchy-Organizer/dp/B07D9C689N/ref=sr_1_51?keywords=file&qid=1562435094&s=gateway&sr=8-51,23.,4.7 out of 5 stars,290,United States,
"Rockford Files, The - The Complete Series",https://m.media-amazon.com/images/I/51j-SvaPRbL._AC_UL320_.jpg,https://www.amazon.in//Rockford-Files-Complete-James-Garner/dp/B06ZXTH52H/ref=sr_1_52?keywords=file&qid=1562435094&s=gateway&sr=8-52,45.,4.5 out of 5 stars,75,United States,
"Rockford Files, The - The Complete Series",https://m.media-amazon.com/images/I/51j-SvaPRbL._AC_UL320_.jpg,https://www.amazon.in//Rockford-Files-Complete-James-Garner/dp/B06ZXTH52H/ref=sr_1_52?keywords=file&qid=1562435094&s=gateway&sr=8-52,62.,4.5 out of 5 stars,75,United States,
Kerrits Kids Ice Fil Tight,https://m.media-amazon.com/images/I/710NxbT8kyL._AC_UL320_.jpg,https://www.amazon.in//Kerrits-Kids-Tight-Black-Size/dp/B00SU7ZZG4/ref=sr_1_53?keywords=file&qid=1562435094&s=gateway&sr=8-53,47.,4.3 out of 5 stars,47,United States,
Kerrits Kids Ice Fil Tight,https://m.media-amazon.com/images/I/710NxbT8kyL._AC_UL320_.jpg,https://www.amazon.in//Kerrits-Kids-Tight-Black-Size/dp/B00SU7ZZG4/ref=sr_1_53?keywords=file&qid=1562435094&s=gateway&sr=8-53,87.,4.3 out of 5 stars,47,United States,
"24 Pockets Expanding File Folder with Cover Accordian File Organizer Portable A4 Letter Size File Box,High Capacity Plastic Colored Paper Document Organizer Filing Folder Organizer",https://m.media-amazon.com/images/I/616bCSQLaeL._AC_UL320_.jpg,https://www.amazon.in//Expanding-Accordian-Organizer-Portable-Capacity/dp/B07PQH2LWB/ref=sr_1_54?keywords=file&qid=1562435094&s=gateway&sr=8-54,14.,4.6 out of 5 stars,13,United States,
"Pendaflex Ready-Tab Reinforced Hanging File Folders, Letter Size, Standard Green, 5 Tab, 25/BX (42590)",https://m.media-amazon.com/images/I/81SvilQCFYL._AC_UL436_.jpg,https://www.amazon.in//Pendaflex-Ready-Tab-Reinforced-Standard-42590/dp/B0000AQOD2/ref=sxbs_sxwds-deals?keywords=file&pd_rd_i=B0000AQOD2&pd_rd_r=438ce960-4698-420b-9fb9-f66fb30b6494&pd_rd_w=7PgdU&pd_rd_wg=PYUzq&pf_rd_p=8ea1b18a-72f9-4e02-9dad-007df8eca556&pf_rd_r=MV5A02ZN98BQ3G90KMND&qid=1562435094&s=gateway&smid=ATVPDKIKX0DER,21.,4.7 out of 5 stars,11,United States,
